会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社NEXYZ.東日本,https://www.kami-no-te.com,大前成平,東京都,渋谷区,159,4400,2015,10,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
フリュー株式会社,https://www.furyu.jp,三嶋隆,東京都,渋谷区,548,163922,2007,4,プライム（内国株式）,"BtoB,BtoC",ゲーム,写真,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社バイキング,https://byking.jp,尾畑心一朗,東京都,港区,159,1000,2008,6,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
メディア・ビジョン株式会社,https://ssl.media-vision.co.jp,福島孝,東京都,江東区,154,1000,1993,3,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社ダーツライブ,https://www.dartslive.co.jp,桝本菊夫,東京都,品川区,159,1000,2003,11,未上場,"BtoB,BtoC",ゲーム,ゲーム開発,イベント,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,
株式会社SRD,https://www.srd.co.jp,中郷俊彦,京都府,京都市下京区,153,9000,1979,1,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社サファリゲームズ,https://www.safarigames.com,岡展宏,大阪府,大阪市淀川区,156,10000,2002,6,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社NextNinja,http://nextninja.net,山岸聖幸,東京都,品川区,154,60000,2009,7,未上場,"BtoC,BtoB",ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
ユニコンプロダクト株式会社,http://www.uniconpro.co.jp,坂本守,東京都,豊島区,550,1800,1983,8,未上場,BtoB,ゲーム,翻訳・通訳,音響・映像機器,,,,,,,,,,,,,,,,,,,
株式会社ボルテージ,https://www.voltage.co.jp,津谷祐司,東京都,渋谷区,149,125071,1999,9,スタンダード（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社フーモア,https://whomor.com,芝辻幹也,東京都,港区,150,10000,2011,11,未上場,BtoB,ゲーム,ゲーム・アニメデザイン,ゲーム・アニメデザイン,デザイン,,,,,,,,,,,,,,,,,,
株式会社アクワイア,http://www.acquire.co.jp,遠藤琢磨,東京都,千代田区,150,10000,1994,12,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,ゲーム開発,CM制作・映像制作,,,,,,,,,,,,,,,,,,
株式会社デジタル・メディア・ラボ,https://www.dml.co.jp,浦澤貴洋,東京都,中央区,148,10000,1995,3,未上場,BtoB,ゲーム,CM制作・映像制作,ゲーム開発,,,,,,,,,,,,,,,,,,,
ワンダープラネット株式会社,https://wonderpla.net,常川友樹,愛知県,名古屋市中区,144,57423,2012,9,グロース（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社日本一ソフトウェア,https://nippon1.co.jp,北角浩一,岐阜県,各務原市,143,55744,1995,7,スタンダード（内国株式）,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社コロプラ,https://colopl.co.jp,宮本貴志,東京都,港区,730,663500,2008,10,プライム（内国株式）,"BtoC,BtoB",ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
ナツメアタリ株式会社,https://www.natsumeatari.co.jp,小出光宏,大阪府,大阪市北区,153,6776,1987,10,未上場,BtoB,ゲーム,ゲーム開発,パチンコ,,,,,,,,,,,,,,,,,,,
ニンテンドーキューブ株式会社,https://www.nintendo-cube.co.jp,西谷衆一郎,東京都,中央区,135,48375,2000,3,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社メトロ,http://www.metro-japan.com,市村万盛,大阪府,大阪市淀川区,132,4900,1987,5,未上場,"BtoB,BtoC",ゲーム,ゲーム開発,アミューズメント機器,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,
株式会社エクスジール,http://exzeal.co.jp,松本浩司,山口県,宇部市,131,1050,2014,3,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社ジーアングル,https://www.g-angle.co.jp,髙橋一誠,東京都,渋谷区,130,3000,2002,3,未上場,BtoB,ゲーム,ゲーム・アニメデザイン,ゲーム・アニメデザイン,レンタルスペース,,,,,,,,,,,,,,,,,,
株式会社エクスジール,http://exzeal.co.jp,松本浩司,山口県,宇部市,131,1050,2014,3,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
ソレイユ株式会社,http://soleilgamestudios.com,岡本好古,東京都,港区,129,10000,2008,8,未上場,BtoC,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
元気株式会社,http://www.genki.co.jp,堀越水執,東京都,中野区,127,10000,1990,10,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社オルトプラス,https://www.altplus.co.jp,石井武,東京都,豊島区,126,6771,2010,5,スタンダード（内国株式）,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社フレイムハーツ,https://www.flamehearts.co.jp,筑紫敏矢,東京都,港区,123,6000,2003,5,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社ランド・ホー,https://landho.co.jp,塚本昌信,東京都,大田区,120,4000,1999,6,未上場,"BtoB,BtoC",ゲーム,ソーシャルゲーム・SNS,CM制作・映像制作,,,,,,,,,,,,,,,,,,,
イマジニア株式会社,https://www.imagineer.co.jp,澄岡和憲,東京都,新宿区,123,266900,1986,1,スタンダード（内国株式）,BtoB,ゲーム,Webアプリ・サービス運営,ゲーム開発,再生可能エネルギー,,,,,,,,,,,,,,,,,,
株式会社タムソフト,https://www.tamsoft.co.jp,太田俊昭,東京都,台東区,122,2000,1992,6,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,CM制作・映像制作,,,,,,,,,,,,,,,,,,,
株式会社バイトルヒクマ,https://www.bai.co.jp,髙村真康,東京都,新宿区,119,9976,1982,9,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,IT系教育,システム開発,,,,,,,,,,,,,,,,,,
株式会社でらゲー,https://www.dxg.jp,家次栄一,東京都,渋谷区,117,700,2010,12,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社マトリックス,https://www.matrixsoft.co.jp,大堀康祐,東京都,新宿区,116,1000,1994,7,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社ビジュアルアーツ,https://visual-arts.jp,馬場隆博,大阪府,大阪市浪速区,114,1000,1991,3,未上場,BtoC,ゲーム,ゲーム開発,イベント,映画・アニメーション,,,,,,,,,,,,,,,,,,
株式会社大一商会,https://daiichi777.jp,市原高明,愛知県,北名古屋市,112,6000,1968,3,未上場,BtoB,ゲーム,アミューズメント機器,ゲーム開発,パチンコ,,,,,,,,,,,,,,,,,,
株式会社ハイド,https://www.hyde.co.jp,柳原健一,東京都,新宿区,110,2000,2002,8,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
GMOコネクト株式会社,https://gmo-connect.jp,安田暁史,東京都,渋谷区,111,500,2013,7,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社ニューロン・エイジ,https://neuron-age.co.jp,石塚昌博,大阪府,大阪市中央区,109,1500,1999,11,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社enish,http://www.enish.jp,安徳孝平,東京都,港区,109,375755,2009,2,スタンダード（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ガンバリオン,https://www.ganbarion.co.jp,山倉千賀子,福岡県,福岡市中央区,108,1000,1999,8,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社アソビズム,https://www.asobism.co.jp,大手智之,東京都,千代田区,107,1000,2005,12,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社リベル・エンタテインメント,https://liberent.co.jp,林田浩太郎,東京都,千代田区,107,10020,2006,9,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
CGCGスタジオ株式会社,http://www.cgcgstudio.co.jp,松本光司,沖縄県,沖縄市,139,2000,2003,4,未上場,BtoB,ゲーム,CM制作・映像制作,ゲーム開発,デザイン,,,,,,,,,,,,,,,,,,
ジープラ株式会社,https://www.geeplus.jp,鶴谷武親,東京都,港区,100,10000,2012,6,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,ゲーム開発,,,,,,,,,,,,,,,,,,,
株式会社DeNA Games Tokyo,https://denagames-tokyo.com,井口徹也,東京都,千代田区,99,10000,2015,4,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社シンクロジック,https://www.thinklogic.co.jp,早川晋史,神奈川県,横浜市西区,98,3750,1998,2,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
アンリミ株式会社,http://www.unlimit-ed.co.jp,芳沢良,東京都,新宿区,95,3500,2005,12,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
