会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
八尾キタノ製作株式会社,https://kitanoseisaku.co.jp,北野潤一,富山県,富山市,208,-,,,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
フドー株式会社,https://fudow.co.jp,吉田省吾,神奈川県,横浜市港北区,195,10000,1935,2,未上場,BtoB,化学,樹脂製品製造,プラスチック成形機器,,,,,,,,,,,,,,,,,,,
株式会社サンリッツ,https://www.sanritz-corp.co.jp,大塚至人,富山県,入善町,201,140000,1939,12,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
高和電氣工業株式会社,https://www.kowa-dk.jp,飯髙研市,神奈川県,川崎市多摩区,194,7500,1958,3,未上場,BtoB,化学,樹脂製品製造,電子部品,,,,,,,,,,,,,,,,,,,
古藤工業株式会社,http://www.furuto.co.jp,佐藤本一,神奈川県,横浜市旭区,185,10000,1940,7,未上場,"BtoC,BtoB",化学,接着剤製造,,,,,,,,,,,,,,,,,,,,
株式会社荻原製作所,http://www.ogihara-mfg.co.jp,高奥在人,長野県,伊那市,188,8100,1946,6,未上場,BtoB,化学,水処理機械,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,
大新産業株式会社,https://dai-shin-sangyo.jp,岩﨑誠司,神奈川県,伊勢原市,189,8151,1964,8,未上場,BtoB,化学,金型製造,,,,,,,,,,,,,,,,,,,,
サンライズオイルサービス株式会社,http://www.uyeno-group.co.jp,田中哲,神奈川県,横浜市鶴見区,180,1000,1999,9,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
大明化学工業株式会社,https://www.taimei-chem.co.jp,福島士郎,長野県,南箕輪村,223,9000,1946,8,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社カシイ,https://www.kashii.co.jp,北﨑昭浩,富山県,富山市,207,10000,1965,10,未上場,"BtoC,BtoB",化学,肥料・農薬製造,看板,看板,,,,,,,,,,,,,,,,,,
旭カーボン株式会社,https://www.asahicarbon.co.jp,大橋牧夫,新潟県,新潟市東区,173,170000,1951,6,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
化成工業株式会社,https://bso0116.bsj.jp,中島秀明,長野県,阿智村,173,-,,,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社エフエヌ,https://www.nakatanigroup.com,中山洋幸,神奈川県,中井町,171,5000,1980,8,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
荻野化成株式会社,https://oginokasei.co.jp,荻野圭輔,神奈川県,横須賀市,164,5000,1981,4,未上場,BtoB,化学,塗料製造,,,,,,,,,,,,,,,,,,,,
有限会社飯田製作所,http://www.iidaf.co.jp,野渡透一,神奈川県,横浜市泉区,168,5000,1964,7,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社ニックス,https://nix.co.jp,青木一英,神奈川県,横浜市西区,171,46813,1953,4,スタンダード（内国株式）,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
相馬商事株式会社,http://www.somashoji.co.jp,相馬栄治郎,長野県,佐久市,165,10300,1902,11,未上場,"BtoC,BtoB",化学,ガソリンスタンド,肥料・農薬製造,ジム・フィットネス,,,,,,,,,,,,,,,,,,
中谷商工株式会社,https://www.nakatanigroup.com,遠藤博和,神奈川県,小田原市,159,6000,1952,12,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社フロウエル,http://www.flowell.co.jp,匂坂智之,神奈川県,横浜市都筑区,172,7500,1973,12,未上場,BtoB,化学,金属部品製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
AGC若狭化学株式会社,https://www.agcwakasa.co.jp,森信明,福井県,小浜市,154,9000,1998,4,未上場,BtoB,化学,製薬,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
株式会社不二産業,http://www.environment-technology.co.jp,本間克也,新潟県,新潟市東区,154,3000,1994,3,未上場,BtoB,化学,廃棄物処分,肥料・農薬製造,廃棄物収集,,,,,,,,,,,,,,,,,,
日東化工株式会社,https://nittokako.jp,坂下尚彦,神奈川県,寒川町,149,190000,1949,7,未上場,BtoB,化学,タイヤ製造・ゴム製品製造,,,,,,,,,,,,,,,,,,,,
中谷産業株式会社,https://www.nakatanigroup.com,石田努,神奈川県,小田原市,145,9000,1951,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
ミユキ化成株式会社,http://www.miyuki-kasei.co.jp,延澤隆史,富山県,射水市,140,3000,1951,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
日本プラパレット株式会社,http://www.nppc.co.jp,木村聡,長野県,上田市,143,10000,1984,7,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
ペルノックス株式会社,https://www.pelnox.co.jp,本木啓博,神奈川県,秦野市,150,6000,1970,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
タカハタプレシジョン山梨株式会社,https://www.takahata.biz,川野賢一,山梨県,笛吹市,141,-,,,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
福井キヤノンマテリアル株式会社,https://fukui.canon,谷川博英,福井県,福井市,139,8000,2017,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社サンプラスト三笠,http://www.sun-mks.co.jp,笠松宏一郎,新潟県,見附市,136,8000,1966,3,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
ヤヨイ化学工業株式会社,https://www.yayoikagaku.co.jp,二口真,富山県,高岡市,137,3600,1972,7,未上場,"BtoC,BtoB",化学,接着剤製造,作業関連用品製造,工作機器,,,,,,,,,,,,,,,,,,
株式会社生駒化学工業,http://www.ikomakk.co.jp,生駒哲也,神奈川県,横浜市戸塚区,134,5000,1964,11,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
有限会社姫川産業,https://himekuro.co.jp,松澤稔,新潟県,糸魚川市,136,300,1976,4,未上場,BtoB,化学,窯業建材・石材,化学品製造,,,,,,,,,,,,,,,,,,,
ケミ・コム・ジャパン株式会社,http://www.chemi-com.co.jp,大谷隆,神奈川県,横浜市神奈川区,130,2000,1989,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社青海製作所,http://www.aomi-ss.jp,青海剛,新潟県,新潟市南区,127,1000,1965,1,未上場,BtoB,化学,金属加工請負,樹脂製品製造,,,,,,,,,,,,,,,,,,,
根上工業株式会社,http://www.negamikogyo.co.jp,西田武志,石川県,能美市,130,8000,1972,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社東邦アーステック,https://www.tohoearthtech.co.jp,設楽琢治,新潟県,新潟市西区,129,20000,1930,3,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社長野三洋化成,http://www.sanyokasei.co.jp,後藤淳,長野県,東御市,130,5500,1972,10,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
大同油脂株式会社,http://www.dydo.jp,大石靖,神奈川県,川崎市幸区,129,10000,1972,8,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社ピーエーイー,https://kk-pae.com,武田慎一郎,長野県,飯田市,123,2000,1973,2,未上場,BtoB,化学,樹脂製品製造,金属加工請負,,,,,,,,,,,,,,,,,,,
有沢総業株式会社,https://www.arisawa-sogyo.co.jp,早川豊,新潟県,上越市,128,3095,2003,4,未上場,BtoB,化学,ゴルフ,,,,,,,,,,,,,,,,,,,,
株式会社JAライフ富山,https://jalife-toyama.jp,餅󠄀川幸一,富山県,富山市,127,10000,2005,2,未上場,BtoC,化学,スーパー,肥料・農薬製造,食品店,,,,,,,,,,,,,,,,,,
西端ブロー工業株式会社,http://nbblow.co.jp,西端正康,福井県,福井市,132,3000,1965,12,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
宮越工芸株式会社,http://miyakoshikogei.co.jp,宮越一郎,富山県,高岡市,146,5000,1973,6,未上場,BtoB,化学,塗料製造,金属加工請負,,,,,,,,,,,,,,,,,,,
エスティーティー株式会社,http://www.stt-inc.co.jp,菅澤敬文,神奈川県,秦野市,113,10000,1989,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
山梨積水株式会社,http://www.yamanashi-sekisui.com,原田浩次,山梨県,甲府市,118,40000,1955,5,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
ジョンソン株式会社,https://scjcatalog.johnson.co.jp,鷲津雅広,神奈川県,横浜市西区,117,40000,1962,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
戸出化成株式会社,https://h-tkc.co.jp,高畑敏夫,富山県,高岡市,115,9800,1977,1,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社櫻本製作所,http://sakuramoto.co.jp,-,神奈川県,川崎市川崎区,117,5200,1961,3,未上場,BtoB,化学,金型製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社BKT,https://www.b-k-t.co.jp,浅谷宏一,石川県,白山市,114,3000,1990,8,未上場,BtoB,化学,金属加工請負,,,,,,,,,,,,,,,,,,,,
モールドバンク国分株式会社,http://www.nagaipla.jp,国分秀俊,長野県,上田市,115,10000,1961,3,未上場,BtoB,化学,金型製造,,,,,,,,,,,,,,,,,,,,
いなほ化工株式会社,http://www.ihk.jp,花田将司,富山県,高岡市,113,5500,1974,2,未上場,"BtoC,BtoB",化学,肥料・農薬製造,カフェ,居酒屋・飲み屋,,,,,,,,,,,,,,,,,,
株式会社中川,https://www.nakagawa-gr.com,中川剛,神奈川県,秦野市,112,4000,1985,3,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
三行合成樹脂株式会社,https://sanko-pla.jp,宮島俊雄,新潟県,見附市,112,2000,1949,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
小林製薬プラックス株式会社,https://www.kobayashi-plax.co.jp,山﨑陽介,富山県,富山市,100,9500,1981,9,未上場,BtoB,化学,金型製造,雑貨製造,介護用品,,,,,,,,,,,,,,,,,,
大栄株式会社,https://www.daieiplas.com,野坂恵一,神奈川県,横浜市中区,108,1500,1959,1,未上場,BtoB,化学,樹脂製品製造,繊維加工・織布,,,,,,,,,,,,,,,,,,,
シプロ化成株式会社,https://www.shipro.co.jp,白石泰章,福井県,坂井市,103,9660,1989,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
信濃化学工業株式会社,https://www.shinano-kagaku.co.jp,小野大輔,長野県,長野市,102,4800,1948,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
入善キタノ製作株式会社,http://www.kitanoseisaku.co.jp,北野潤一,富山県,入善町,97,-,,,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
癸巳化成株式会社,http://www.taketombo.co.jp,前澤大介,神奈川県,横浜市金沢区,94,4000,1953,5,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
NTフィルム株式会社,http://www.ntfilm-japan.com,冨山幹雄,福井県,坂井市,96,8000,2009,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
田上化工株式会社,http://tagamikako.com,新保智也,新潟県,田上町,94,2000,1974,2,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社光伸化成製作所,https://kpw.co.jp,伊山孝秀,神奈川県,相模原市中央区,90,8920,1970,7,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
黒崎白土工業株式会社,http://www.kurosaki-hakudo.jp,-,新潟県,新発田市,93,1000,1957,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社横浜ドラム製作所,http://www.furukawa-logis.co.jp,久保嘉成,神奈川県,平塚市,90,2000,1956,11,未上場,BtoB,化学,金属製品製造,,,,,,,,,,,,,,,,,,,,
