会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
三谷コンピュータ株式会社,https://www.mtn.co.jp,後淳也,福井県,坂井市,148,11224,1969,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社江守情報,https://www.i-emori.co.jp,山本昇,福井県,福井市,150,10000,2016,7,未上場,BtoB,IT,システム開発,Web制作,ソフトウェア商社,,,,,,,,,,,,,,,,,,
株式会社シーピーユー,https://www.cpu-net.co.jp,木屋満晶,石川県,金沢市,143,26300,1984,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社シエルシステム,https://www.cielsystem.co.jp,金井正一,長野県,松本市,168,2980,2014,8,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エヌ・テイ・エス,https://www.kk-nts.co.jp,石原喜彦,新潟県,新潟市中央区,138,1000,1988,8,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社コスモサミット,http://www.csn.co.jp,山西幸一,石川県,金沢市,150,20000,1951,4,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
中部事務機株式会社,https://www.cbm.co.jp,辻慶一,岐阜県,岐阜市,133,4000,1952,3,未上場,BtoB,IT,オフィス用品,,,,,,,,,,,,,,,,,,,,
株式会社オスポック,https://www.osppoc.com,中川一郎,新潟県,十日町市,135,5000,1987,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
新潟通信機株式会社,https://www.niigata-t.co.jp,梶山美佐男,新潟県,新潟市中央区,134,7500,1960,10,未上場,"BtoC,BtoB",IT,システム開発,資格取得,,,,,,,,,,,,,,,,,,,
株式会社ANX,http://www.annex-info.co.jp,若林順平,長野県,上田市,121,8800,1973,6,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社天晴データネット,https://www.tenseidatanet.co.jp,西川孝盛,福井県,福井市,121,1000,1996,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ビジュアルソフト,https://www.vss.co.jp,東郁雄,福井県,福井市,142,3000,1996,6,未上場,BtoB,IT,ITインフラストラクチャー,ソフトウェア商社,Web制作,,,,,,,,,,,,,,,,,,
株式会社HCSプラス,http://www.hgsc.co.jp,多賀満,富山県,富山市,128,2000,1996,2,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アルコン,https://alcom.co.jp,藤田淳,新潟県,新潟市中央区,126,2000,1990,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
ヨシダ印刷株式会社,https://www.yoshida-p.co.jp,吉田克也,石川県,金沢市,129,9800,1950,9,未上場,BtoB,IT,紙媒体印刷,デザイン,,,,,,,,,,,,,,,,,,,
株式会社共立アイコム,https://www.kpnet.co.jp,小林武治,静岡県,藤枝市,126,5000,1954,1,未上場,BtoB,IT,Web制作,雑誌出版,販促コンサル,,,,,,,,,,,,,,,,,,
株式会社jig.jp,https://www.jig.jp,占部哲之,福井県,鯖江市,125,96163,2003,5,グロース（内国株式）,BtoC,IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
