会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社三宅新聞店,https://miyake-shinbun.com,三宅一秀,福島県,福島市,44,1500,1991,1,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社帯広シティーケーブル,https://www.octv.jp,丸山芳明,北海道,帯広市,44,10000,1981,11,未上場,BtoC,マスコミ,放送局,テレビ番組,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,,
株式会社こどものとも,https://kodomonotomo.net,嶋田昌章,千葉県,千葉市緑区,44,1000,1991,2,未上場,"BtoC,BtoB",マスコミ,書籍出版,玩具,教材,,,,,,,,,,,,,,,,,,
株式会社めんこいエンタープライズ,http://www.menkoi-ep.jp,藤原銀司,岩手県,盛岡市,41,5000,1990,10,未上場,"BtoB,BtoC",マスコミ,テレビ番組,Web制作,CM制作・映像制作,,,,,,,,,,,,,,,,,,
狭山ケーブルテレビ株式会社,http://www.s-cat.ne.jp,清水信之,埼玉県,狭山市,38,40000,1992,7,未上場,BtoC,マスコミ,放送局,通信回線,,,,,,,,,,,,,,,,,,,
伴印刷株式会社,http://www.bannet.com,伴誠,栃木県,宇都宮市,39,1000,1952,11,未上場,BtoB,マスコミ,紙媒体印刷,雑誌出版,デザイン,,,,,,,,,,,,,,,,,,
北海印刷株式会社,https://hokkai-print.co.jp,徳永賢二,北海道,室蘭市,39,1000,1953,8,未上場,"BtoC,BtoB",マスコミ,紙媒体印刷,書籍出版,Web制作,,,,,,,,,,,,,,,,,,
株式会社東海新報社,https://tohkaishimpo.com,鈴木英里,岩手県,大船渡市,39,1000,1958,12,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社エフエムナックファイブ,https://www.nack5.co.jp,片岡尚,埼玉県,さいたま市大宮区,35,80000,1988,3,未上場,BtoB,マスコミ,放送局,イベント,,,,,,,,,,,,,,,,,,,
株式会社三陸新報社,http://sanrikushimpo.co.jp,浅倉眞理,宮城県,気仙沼市,35,-,1961,12,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
株式会社上毛新聞TR,https://www.j-tr.jp,内山充,群馬県,前橋市,34,1500,1970,9,未上場,BtoB,マスコミ,広告代理店,雑誌出版,イベント,,,,,,,,,,,,,,,,,,
株式会社大崎タイムス社,http://www.osakitimes.com,伊藤卓二,宮城県,大崎市,34,-,1947,3,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
株式会社ワンウォーク,https://www.any-one.biz,村本隆雄,北海道,札幌市北区,34,400,2012,3,未上場,BtoC,マスコミ,高齢者住宅,書籍出版,,,,,,,,,,,,,,,,,,,
山新オフセット株式会社,http://yamagata-np.jp,-,山形県,山形市,32,-,,,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
有限会社ブームアップ,http://www.boomup.co.jp,小川明人,埼玉県,さいたま市浦和区,38,300,1999,4,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社スポーツニュース社,http://www.aokei.co.jp,北山満,埼玉県,川口市,42,1000,1953,4,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社アイエスエイ,http://www.isa-school.co.jp,石井康弘,千葉県,千葉市花見川区,32,1000,1981,7,未上場,"BtoC,BtoB",マスコミ,書籍出版,レンタルスペース,システム開発,,,,,,,,,,,,,,,,,,
株式会社朝日ネットコーポレーション,http://asahi-saitama.com,中村健一,埼玉県,さいたま市大宮区,32,-,2002,11,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
